 In madness you dwell"22,3,Master of Puppets,Welcome Home (Sanitarium),1,4,1986,1,6,27,387,0.002583979,0,0,1,1,1,0,0,0,0,0,943,"Welcome to where time stands still
 No one leaves and no one will
 Moon is full, never seems to change
 Just labeled mentally deranged
 Dream the same thing every night
 I see our freedom in my sight
 No locked doors, No windows barred
 No things to make my brain seem scarred

 Sleep my friend and you will see
 That dream is my reality
 They keep me locked up in this cage
 Can't they see it's why my brain says Rage

 Sanitarium, leave me be
 Sanitarium, just leave me alone

 Build my fear of what's out there
 Cannot breathe the open air
 Whisper things into my brain
 Assuring me that I'm insane
 They think our heads are in their hands
 But violent use brings violent plans
 Keep him tied, it makes him well
 He's getting better, can't you tell?

 No more can they keep us in
 Listen, damn it, we will win
 They see it right, they see it well
 But they think this saves us from our hell

 Sanitarium, leave me be
 Sanitarium, just leave me alone
 Sanitarium, just leave me alone

 Fear of living on
 Natives getting restless now
 Mutiny in the air
 Got some death to do
 Mirror stares back hard
 Kill, it's such a friendly word
 Seems the only way
 For reaching out again

"23,3,Master of Puppets,Disposable Heroes,1,5,1986,0,8,16,496,0,0,0,1,1,1,0,0,0,0,0,151,"Bodies fill the fields I see, hungry heroes end
 No one to play soldier now, no one to pretend
 Running blind through killing fields, bred to kill them all
 Victim of what said should be
 A servant 'til I fall

 Soldier boy, made of clay
 Now an empty shell
 Twenty-one, only son
 But he served us well
 Bred to kill, not to care
 Do just as we say
 Finished here
 Greetings, Death
 He's yours to take away

 Back to the front
 You will do what I say, when I say
 Back to the front
 You will die when I say, you must die
 Back to the front
 You coward
 You servant
 You blind man

 Barking of machine-gun fire does nothing to me now
 Sounding of the clock that ticks, get used to it somehow
 More a man, more stripes you bare, glory-seeker trends
 Bodies fill the fields I see
 The slaughter never ends

 Soldier boy, made of clay
 Now an empty shell
 Twenty-one, only son
 But he served us well
 Bred to kill, not to care
 Do just as we say
 Finished here
 Greetings, Death
 He's yours to take away

 Back to the front
 You will do what I say, when I say
 Back to the front
 You will die when I say, you must die
 Back to the front
 You coward
 You servant
 You blind man

 Why, am I dying?
 Kill, have no fear
 Lie, live off lying
 Hell, hell is here

 I was born for dying

 Life planned out before my birth, nothing could I say
 Had no chance to see myself, molded day by day
 Looking back I realize, nothing have I done
 Left to die with only friend
 Alone I clench my gun

 Soldier boy, made of clay
 Now an empty shell
 Twenty-one, only son
 But he served us well
 Bred to kill, not to care
 Do just as we say
 Finished here
 Greetings, Death
 He's yours to take away

 Back to the front
 You will do what I say, when I say
 Back to the front
 You will die when I say, you must die
 Back to the front
 You coward
 You servant
 You blind man

 Back to the front "24,3,Master of Puppets,Leper Messiah,1,6,1986,0,5,39,339,0,0,0,1,1,0,0,0,0,0,0,116,"Spineless from the start, sucked into the part
 Circus comes to town, you play the lead clown
 Please, please
 Spreading his disease, living by his story
 Knees, knees
 Falling to your knees, suffer for his glory
 You will

 Time for lust, time for lie
 Time to kiss your life goodbye
 Send me money, send me green
 Heaven you will meet
 Make a contribution
 And you'll get a better seat
 Bow to Leper Messiah

 Marvel at his tricks, need your Sunday fix
 Blind devotion came, rotting your brain
 Chain, chain
 Join the endless chain
 Taken by his glamour
 Fame, Fame
 Infection is the game, stinking drunk with power
 We see

 Time for lust, time for lie
 Time to kiss your life goodbye
 Send me money, send me green
 Heaven you will meet
 Make a contribution
 And you'll get a better seat
 Bow to Leper Messiah

 Witchery, weakening
 Sees the sheep are gathering
 Set the trap, hypnotize
 Now you follow

 Time for lust, time for lie
 Time to kiss your life goodbye
 Send me money, send me green
 Heaven you will meet
 Make a contribution
 And you'll get a better seat

 Lie
 Lie
 Lie
 Lie
 Lie
 Lie
 Lie
 Lie "25,3,Master of Puppets,Orion,1,7,1986,0,8,27,507,0,0,0,1,1,0,1,0,0,0,0,68,26,3,Master of Puppets,"Damage, Inc. ",1,8,1986,1,5,32,332,0.003012048,0,0,1,1,1,1,0,0,0,0,293,"Dealing out the agony within
 Charging hard and no one's gonna give in
 Living on your knees, conformity
 Or dying on your feet for honesty
 Inbred, our bodies work as one
 Bloody, but never cry submission
 Following our instinct not a trend
 Go against the grain until the end

 Blood will follow blood
 Dying time is here
 Damage Incorporated

 Slamming through, don't fuck with razorback
 Stepping out? You'll feel our hell on your back
 Blood follows blood and we make sure
 Life ain't for you and we're the cure
 Honesty is my only excuse
 Try to rob us of it, but it's no use
 Steamroller action crushing all
 Victim is your name and you shall fall

 Blood will follow blood
 Dying time is here
 Damage Incorporated

 We chew and spit you out
 We laugh, you scream and shout
 All flee, with fear you run
 You'll know just where we come from

 Damage Incorporated

 Damage jackals ripping right through you
 Sight and smell of this, it gets me goin'
 Know just how to get just what we want
 Tear it from your soul in nightly hunt
 Fuck it all and fucking no regrets
 Never happy ending on these dark sets
